제목,제공기관,수정일,조회수,다운로드
한국언론진흥재단_뉴스빅데이터_메타데이터_코로나,한국언론진흥재단,2021-08-25,20485,40120
서울특별시 강동구_코로나동별현황,서울특별시 강동구,2020-09-23,3023,819
한국언론진흥재단_코로나19이후국민의일상변화조사_포스트 코로나 사회에 대한 전망,한국언론진흥재단,2021-03-17,3684,1132
한국언론진흥재단_코로나19이후국민의일상변화조사_코로나19로 인한 감정 변화,한국언론진흥재단,2021-03-17,11938,4600
부산광역시 수영구_코로나 확진자 수,부산광역시 수영구,2022-05-23,1375,234
강원도_코로나19 확진자 현황,강원도,2022-03-28,4878,1357
서울특별시 용산구_코로나19확진자,서울특별시 용산구,2022-03-17,2530,803
서울특별시 용산구_코로나19사망자,서울특별시 용산구,2022-03-17,281,64
전라북도 고창군_코로나19 현황,전라북도 고창군,2022-04-01,116,54
충청남도 계룡시_코로나19 확진자,충청남도 계룡시,2022-03-24,106,23
